Quality	#1 ID	#2 ID	#1 String	#2 String
1	44	44	زعمت الأم أيضا في الدعوى أنها تعرضت للاعتداء الجنسي من قبل أحد الحراس.	ادعت الأم أيضا أنها تعرضت للاعتداء الجنسي من قبل أحد الحراس أثناء الاشتباك عام 1998.
1	45	45	،قال الكاهن بنفسه  بيتر كارانجا رئيس مجلس كاتدرائية جميع القديسين في نيروبي: أن الكنيسة الأسقفية تبعد نفسها عن الطائفة الإنجيلية'	في نيروبي، قال كاهن كاتدرائية جميع القديسين، بيتر كارانجابنفسه أن الكنيسة الأسقفية الأمريكية تبعد نفسها عن الطائفة الإنجيلية
0	46	46	نعم، من اليوم ذاكرة فلاش التي يتم  شراؤها من AMD أو فوجيتسو سيتم وصفها بسبانشن . 	حلول ذاكرة سبانشن فلاش متاحة في جميع أنحاء العالم من  خلال AMD وفوجيتسو.
1	47	47	قال اثنان من أكبر صانعي السيارات في العالم أن مبيعات الولايات المتحدة انخفضت  أكثر مما كان متوقعا الشهر الماضي ، كما تسببت موجة مبيعات أواخر الصيف ردود فعل عنيفة من جهة الصناعة  أكثر مما كان متوقعا. 	انخفضت المبيعات المحلية  لكل من جنرال موتورز و شركة فورد موتوررقم 2 أكثر مما كان متكهن به  ، كما دفعت موجة المبيعات أواخر الصيف لردة فعل أكبر مما كان متوقعا  في الصناعة.
1	48	48	عاصفة استوائية تطورت بشكل سريع في خليج المكسيك يوم الأحد، حيث كان من المتوقع أن تضرب مكانا ما على طول سواحل تكساس أو لويزيانا يوم الإثنين ليلا .	عاصفة استوائية تطورت بشكل سريع في خليج المكسيك يوم الأحد ، ويمكن أن تحمل رياحا بقوة الإعصار عندما تضرب الأرض في أي مكان على طول ساحل لويزيانا ليلة الاثنين.
1	49	49	قد يرتفع الضغط بشكل جيد يوم الخميس، مع التغطية المحلية للجولة النهائية التي خططت لها ESPN، شبكة كابل الألعاب الرياضية. 	سوف يتكثف الضغط اليوم، مع التغطية المحلية للجولة النهائية التي خططت لها ESPN والكلمات التي هي أكثر صعوبة.
0	50	50	أشاد باتاكي بقرار إبراهيم، وقال رئيس ليبا ريتشارد كيسيل : يجب أن يبقى الكابل في العملية بشكل دائم.	 قال رئيس ليبا ريتشارد كيسيل: هذا يعني أن الكابل يمكن أن يستخدم" "كما نراه مناسبا.
1	51	51	جزء من الاتفاق كان تنفيذ مجلس الصحة الخاص الذي من شأنه  مراقبة الإنفاق على الرعاية الصحية والتقدم في إصلاح النظام الصحي.	جزء رئيسي من الاتفاق كان تنفيذ مجلس خاص لمراقبة الإنفاق على الرعاية الصحية، وتحديد الأهداف للنظام وقياس التقدم المحرز في إصلاح الرعاية الصحية.
1	52	52	جاء داين لجامعة كاليفورنيا في سان دييغو في عام 1991 بعد مرور22 عاما من عمله كفيزيائي في مختبرات بيل AT & T .	مكث داين في جامعة كاليفورنيا في سان دييغو منذ عام 1991 بعد أن أمضى 22 عاما في مختبرات بيل  AT & T ، حيث عمل على الموصلات الفائقة وغيرها من المواد.
0	53	53	انخفضت أسهم الخطوط الجوية البريطانية بنسبة 1.5 في المئة ، أي 168 بنسا ،في تمام الساعة 14:20 بتوقيت جرينتش ،  أي أقل من 164 بنسا، بشكل أقوى قليلا في سوق لندن العام .	انخفضت أسهم الخطوط الجوية البريطانية ثلاثة في المئة، أي 165-1 / 4 بنسا في الساعة 09:33 بتوقيت جرينتش ،أي أقل  من 164 بنسا، في سوق أقوى
1	54	54	ستضم المقاطعات مع انخفاض عدد السكان البرتقالي المائل للحمرة، البوسي والماديسون.	عدد سكان المقاطعة من البرتقالي المائل للحمرة، البوسي و الماديسون سوف ينخفض.
1	55	55	وافق مجلس الشيوخ الثلاثاء على رفع الحظر المفروض والذي مدته 10 سنوات ، وذلك في مجال بحث وتطوير  الأسلحة النووية ،ذو العائد المنخفض.	قضت قوانين كل من مجلسي النواب والشيوخ على إنهاء الحظر المفروض على البحث والتطوير في الأسلحة النووية ذو العائد المنخفض.
1	56	56	التهاب السحايا هو التهاب  في سائل الحبل الشوكي والأنسجة المحيطة بالمخ.	التهاب السحايا هو التهاب في السائل الموجود  في الحبل الشوكي و ما وحول الدماغ للإنسان .
1	57	57	صنعت كل من شركات، تشيرون وأفنتيس باستور، معا حوالي 80 مليون جرعة من حقن اللقاح،و الذي يكفي عادة لتلبية الطلب في الولايات المتحدة.	ذكرت وكالة أسوشيتد برس أن كل من شركات، تشيرون وأفنتيس باستور، عملوا  معا على إنتاج حوالي 80 مليون جرعة من حقن اللقاح،و الذي يكفي عادة لتلبية الطلب في الولايات المتحدة.
1	58	58	قال رئيس البلدية جوت. باركر مساء الخميس أن العمال الثلاثة كانوا رجلين وامرأة ، حيث كانواداخل المبنى عندما وقع الانفجار الاول.	قال رئيس البلدية جو ت. باركر :العمال المفقودون الذين كانوا داخل المبنى عندما وقع الانفجار الأول هم رجلان وامرأة .
1	59	59	قال مسؤول  المجلس ومقره لندن، علي صفوي، لرويترز: "نحن ندين هذا الهجوم، الذي هو برأينا غير قانوني ،ولا يمكن تبريره  سياسيا ولا أخلاقيا."	قال مسؤول  المجلس ومقره لندن، علي صفوي، لرويترز عبر الهاتف: "نحن ندين هذا الهجوم، الذي هو برأينا غير قانوني ،ولا يمكن تبريره  سياسيا ولا أخلاقيا."
1	60	60	اكتشف المحققون وجود  شظية بطول4 إنشات ،وذلك  داخل عظمة كانت تحت بلاطة اسمنتية يوم الخميس، إلا أنه تبين أن تكون عظام حيوانات.	اكتشف المحققون وجود شظية داخل عظمة بطول 4 بوصة ليلة الخميس، لكن السلطات قالت أنها عظمة حيوان.
1	61	61	انفجرت بين يديه، ولكن رئيس الوزراء الإيطالي السابق لم يصب بأذى.	الرسالة عبارة عن قنبلة ، تم إرسالها إلى برودي الذي انفجرت بين يديه لكنه لم يصب بأذى.
1	62	62	نحو 95 مليون أميركي - نصف الأسر -يستثمرون في صناديق الاستثمار المشترك.	ما يقرب من نصف مجموع الأسرفي الولايات المتحدة لديهم أموال في صناديق الاستثمار المشترك.
0	63	63	نفى المحامي العسكري الحلبي في سلاح الجو، الميجور جيمس كي، الاتهامات التي يمكن أن تحمل عقوبة الإعدام.	نفى المحامي جيمس كي الثالث الذي يمثل الحلبي ، نفى هذه الاتهامات،ذلك وفقا لأسوشيتد برس .
1	64	64	قال شوارتز، الذي اتهم في فبراير الماضي، بأن نيو هامبشاير كان المكان الخطأ لاتهامه.	كان شوارتز قد سعى لرفض الاتهام ، قائلا إن نيو هامبشايركان المكان الخطأ لتوجيه الاتهام له.
0	65	65	قال وسكال برسالة إلى المحكمة: " مزقت عائلتي إربا .	اعتذروسكال للمحكمة، وموظفيه وعائلته، ذلك طلبا منه للتساهل .
0	66	66	قال جاير:تلقت المدينة منذ أوائل مايو، 1400 تقريرا عن الغربان الزرقاء الميتة.	قال :منذ أوائل مايو، تلقت المدينة 1400 تقريرا .
0	67	67	لكن فورست، منظمة الحرية للحق في التمتع بتدخين التبغ، قالت: '' أذكروا كلمة حظر، ليعرف الجميع ماذا حدث هناك.	قالت منظمة فورست للحق في التمتع بتدخين التبغ، أنها استقبلت دعوة لانسيت ل "التسلية والكفر"
1	68	68	 أقر مجلس النواب في آخر دورتين  المشروعية لوصفة طبية ، لكن مجلس الشيوخ لم ينجح في إقرارها.	أقر مجلس النواب مشاريع قوانين آخر مؤتمرين ، ولكن مجلس الشيوخ لم يفعل ذلك.
1	69	69	فور تحويلها،  سوف تمتلك شركة باي ستار مجموع ما يقرب من 2,95 مليون سهم من أسهم شركة شنغهاي للتعاون المشتركة المنظمة ،أو 17.5 في المئة من أسهم الشركة غير المسددة.	يعطي الاستثمار  لشركة لاركسبور، مقرها في كاليفورنيا شركة باي ستار ، أكثر من 2.9 مليون سهم من الأسهم المشتركة لمنظمة شانغهاى للتعاون، أو 17.5 في المئة من أسهم الشركة غير المسددة.
0	70	70	تم حث كبار السن ،والذين يعانون من ضعف في جهاز المناعة أيضا للحماية من لدغات البعوض.	لكنها يمكن أن تكون قاتلة  لكبار السن والذين يعانون من ضعف في جهاز المناعة .
0	71	71	افتتحت شركة وينستون-سالم، الواقعة شمال كارولينا ستة مخازن خلال الربع، ليصل المجموع إلى 282.	تم افتتاح ستة محلات كريسبي كريم الجديدة في الربع الأول، ليصل العدد الإجمالي للمخازن إلى 282.
1	72	72	قال توماس إزيل ،محامي السيدة لافرتي، لصحيفة كنتاكي: ما أفهمه من هذا هو أنه هناك نسبة أقل من عمليات الإشباع ناجحة مع التجميد .	قال إيزيل :"ما أفهمه من هذا هو أن هناك نسبة أقل من عمليات الإشباع الناجحة مع التجميد"
1	73	73	طلبت لجنة التجارة الاتحادية (FTC) من الكونغرس اليوم ،سلطات إضافية لمكافحة  بريد الإنترنيت المزعج وغير المرغوب ،و الذي يصل  الآن إلى  أكثر نصف مجمل حسابات البريد الإلكتروني.	طلبت لجنة التجارة الاتحادية من الكونغرس بالأمس سلطات أوسع لمهاجمة المشكلة المتفاقمة بشكل سريع من البريد المزعج، والتي تظهر دراسات جديدة أنها حسابات النصف من مجمل حركة البريد الإلكتروني.
1	74	74	في آخر مرة تم فيها إجراء المسح، عام 1995، تم تطابق تلك الأرقام. 	في المسح الأخير من عام 1995، كانت تلك الأرقام متساوية.
0	75	75	قامت هيئة محلفين اتحادية كبرى يوم الثلاثاء بتوجيه الاتهام لهم ، ولم يتم ختم الوثيقة حتى يوم أمس للسماح للسلطات القيام بعمليات الاعتقال. 	قال مسؤولون فيدراليون: ظلت الوثيقة مغلقة حتى صباح يوم الخميس ،للسماح للسلطات القيام بالاعتقالات في خمس ولايات غربية.
1	76	76	الناس الذين عارضوا هذه الأعمال في جميع الأنحاء يحاولون الآن إيجاد أسباب جديدة للقول بأن  هذا لم يكن الشيء الصحيح الذي ينبغي عمله .	ما يحدث هنا ،هو أن الناس الذين عارضوا هذا العمل في جميع الأنحاء، يحاولون إيجاد أسباب جديدة لماذا لم يكن الشيء الصحيح الذي ينبغي عمله.
0	77	77	اعتقل كلارمن من قبل وكلاء مكتب التحقيقات الفدرالي في هامبتونز، وهو مصيف القطاع الشرقي الوحيد لمدينة نيويورك.	اعتقل كلارمن من قبل وكلاء مكتب التحقيقات الفدرالي صباح الاثنين في منزله في نيويورك.
0	78	78	قال المطران للشرطة انه يعتقد انه ضرب كلبا أو قطة أو أن أحدهم قد ألقى صخرة في سيارته.	أخبر المطران أوبراين، البالغ من العمر67 عاما الشرطة أنه يعتقد أنه ضرب كلبا أو قطة.
0	79	79	يزعم التقرير أيضا أنه  سيكون هناك ارتفاع يصل إلى 9.3 مليون زائر إلى النقاط الساخنة هذا العام، بزيادة ضئيلة مرة أخرى بنسبة 2.5 مليون في عام 2002.	وقال غارتنر "سيكون هناك 9.3 مليون زائر إلى المناطق الساخنة في عام 2003، بارتفاع من 2.5 مليون في عام 2002.
0	80	80	مكث ريتشارد ميلر في المستشفى بعد خضوعه لعملية زرع كبد، بينما تعافت زوجته.	ريتشارد ميلر (57 عاما)بقي على قيد الحياة بعد عملية زرع كبد منقذة للحياة ،لكنه لا يزال في المستشفى.
1	81	81	لم يتسن على الفور للممثلين المتعاقبين الوصول للتعليق على إعلان منظمة شانغهاى للتعاون.	لم يتمكن المتحدث باسم منظمة شانغهاى للتعاون الوصول للتعليق بعد ظهر هذا اليوم.
0	82	82	انخفضت نسبة السكان  المتمثلة  بأرباب العمل من 62.3 في المئة في عام 2001 إلى 61.3في المئة في العام الماضي.	انخفضت نسبة الأميركيين العاملين ممن لديهم تأمين إلى 61.3 في المئة، من 62.6 في المئة في عام 2001 و 63.6 في المئة في عام 2000.
0	83	83	حكمت المحاكم العليا أن أجهزة لوحية اقتحمت الفصل الدستوري بين الكنيسة والدولة.	قضت المحاكم الاتحادية أن التمثال التذكاري ينتهك الحظر الدستوري ضد الدين المؤسس للدولة.
0	84	84	ظلت العائلات عالقة في سياراتها على الطريق السريع ، وتستخدم هواتفها المحمولة  لإجراء المكالمات الخاصة بمنازلهم.	تم حث الأسر العالقة على الطريق السريع إلى البقاء في سياراتها، واستخدام الهواتف المحمولة الخاصة بهم فقط في حالة الطوارئ.
1	85	85	بصدد الحادث، أعترف بأنني تصرفت بشكل غير لائق .	قال "أاعترف بأنني تصرفت بشكل غير لائق "
0	86	86	ملصق ترويجي، بدأ العد التنازلي لاستكماله ، يذكر القراء بالهوية القادمة ل "هاري بوتر وجماعة العنقاء".	إن  الصناديق مليئة بالنسخ ذات التغليف القوي من" "هاري بوتر وجماعة العنقاء".
1	87	87	قال متحدث : "منذ شهر نوفمبر، ونحن متعاونون بشكل كامل مع الشرطة.	أضيف أنه كان" "متعاونا بشكل كامل" "مع الشرطة منذ شهر نوفمبر.
1	88	88	الناس الذين كان يعتقد سابقا أن ضغط الدم لديهم على ما يرام، في الواقع قد يكونوا في طريقهم إلى ارتفاع ضغط الدم ، ذلك في إطار المبادئ التوجيهية الجديدة للولايات المتحدة التي نشرت يوم الاربعاء.	الناس الذين كان يعتقد سابقا أن ضغط الدم لديهم على ما يرام ، في الواقع هم بحاجة للبدء بممارسة التمارين الرياضية وتناول الطعام بشكل أفضل،هذا وفقا للمبادئ التوجيهية الأمريكية الجديدة التي نشرت يوم الاربعاء.
1	89	89	قال بالأمس المتخصص "مازال جاريا عمل المزيد من الاختبارات ، ولكن في هذه المرحلة، وبالنظر إلى الكشف المبكر، فإن التوقعات في مثل هذه الحالات أن تكون إيجابية	قال : "لكن في هذه المرحلة، ونظرا للكشف المبكر، يمكن أن تكون التوقعات في مثل هذه الحالات إيجابية"،
0	90	90	ذكرت وكالة أمازون أيضا أن مكتب المدعي العام في نيويورك أقر تهم الاحتيال المدنية مع تحديد واحدة منها .	أقرت فعلا  وكالة أمازون ومكتب المدعي العام في نيويورك أحد مزورين البريد الإلكتروني.
1	91	91	كانوا خلال عطلة نهاية الأسبوع في مستشفى رافلز وذلك لعمل مزيد من التقييم.	فقد تم إخضاعهم لمزيد من الفحوص خلال عطلة نهاية الأسبوع، حيث يقبعون الآن في مستشفى رافلز.
0	92	92	ارتفع مؤشر داو جونز الصناعي ذلك وفقا للتداولات الصباحية بنسبة 40.12، أو 0.5 في المئة ، ليصل إلى 8،571.69، بانخفاض51 نقطة ،يوم الإثنين.	في نيويورك، ارتفع مؤشر داو جونز الصناعي الذي يعادل30 سهما ممتازا بقيمة 3.29 نقطة أو 0.04 في المئة ليصل إلى 8،585.97.
0	93	93	قال فرانكلين:  كان الخطأ في التوقعات لمتوسط خمسة أيام بالنسبة لموسم كامل هو 259 ميل.	متوسط الخطأ في المسار لمدة خمسة أيام (حسب التوقعات) هو 323 ميلا بحريا.
1	94	94	ضاعفت وسائل الإعلام الغنية حصتها، بزيادة من 3% في ق2 من سنة 2002، إلى 6% في ق2 من سنة 2003 .	ضاعفت وسائل الإعلام  الغنية ،المتخصصة في أشكال الإعلانات ،حصتها من 3% في الربع الثاني من عام 2002، إلى 6% في الربع الثاني من عام 2003.
1	95	95	قال بيرك :يبدو من التقرير الأولي لدينا ،وبالنظر إلى الظروف ، أن هذا الهبوط هو هبوط مخطط له .،	قال السيد بيرك:" "بالنطر إلى الظروف ، كان هبوطا مخططا له"
0	96	96	ارتفعت أسهم أليجانت في بورصة ناسداك بنسبة4 دولارات، أو 17.2دولارفي المئة ، لتصل إلى 27.43 دولار، في  التداولات الصباحية من يوم الخميس	أغلقت أسهم شركة أليجانت يوم الأربعاء على 23.40 دولار، بزيادة 64 سنتا، هذا في تداولات سوق ناسداك.
0	97	97	كما جاء في قانون الدولة ، 911 مكالمة هي معلومات غير عامة ولم يتم إعلانها .	بموجب القانون، 911 مكالمة هي معلومات غير عامة في ولاية رود آيلاند
